alpha_2,region,,flag,大洲:,origin name,Let's Go,,2013-01-01,2013-02-01,2013-03-01,2013-04-01,2013-05-01,2013-06-01,2013-07-01,2013-08-01,2013-09-01,2013-10-01,2013-11-01,2013-12-01,2014-01-01,2014-02-01,2014-03-01,2014-04-01,2014-05-01,2014-06-01,2014-07-01,2014-08-01,2014-09-01,2014-10-01,2014-11-01,2014-12-01,2015-01-01,2015-02-01,2015-03-01,2015-04-01,2015-05-01,2015-06-01,2015-07-01,2015-08-01,2015-09-01,2015-10-01,2015-11-01,2015-12-01,2016-01-01,2016-02-01,2016-03-01,2016-04-01,2016-05-01,2016-06-01,2016-07-01,2016-08-01,2016-09-01,2016-10-01,2016-11-01,2016-12-01,2017-01-01,2017-02-01,2017-03-01,2017-04-01,2017-05-01,2017-06-01,2017-07-01,2017-08-01,2017-09-01,2017-10-01,2017-11-01,2017-12-01,2018-01-01,2018-02-01,2018-03-01,2018-04-01,2018-05-01,2018-06-01,2018-07-01,2018-08-01,2018-09-01,2018-10-01,2018-11-01,2018-12-01,2019-01-01,2019-02-01,2019-03-01,2019-04-01,2019-05-01,2019-06-01,2019-07-01,2019-08-01,2019-09-01,2019-10-01,2019-11-01,2019-12-01,2020-01-01,2020-02-01,2020-03-01,2020-04-01,2020-05-01,2020-06-01,2020-07-01,2020-08-01,2020-09-01,2020-10-01,2020-11-01,2020-12-01,2021-01-01,2021-02-01,2021-03-01,2021-04-01,2021-05-01,2021-06-01,2021-07-01,2021-08-01,2021-09-01,2021-10-01,2021-11-01,2021-12-01,2022-01-01,2022-02-01,2022-03-01
UY,乌拉圭,其他,https://www.fluentpython.com/data/flags/uy/uy.gif,南美,UY,0,0,40754388,81508776,81508776,81508776,81508776,122263164,203771940,285280716,285280716,326035104,366789492,366789492,407543880,407543880,489052656,529807044,570561432,652070208,692824596,815087760,937350924,1018859700,1141122864,1304140416,1467157968,1589421132,1711684296,1793193072,2037719400,2323000116,2526772056,2852807160,3056579100,3301105428,3627140532,4360719516,4809017784,5338824828,5868631872,6357684528,7132017900,8028614436,8884456584,9740298732,10310860164,11125947924,12267070788,13693474368,15038369172,16831562244,18502492152,20132667672,22211141460,23963580144,26123562708,27998264556,31014089268,33459352548,36312159708,39654019524,42832861788,46011704052,48701493660,52084107864,55874265948,59664424032,63332318952,67407757752,71483196552,75151091472,78411442512,81957074268,85135916532,88722302676,91738127388,95243004756,99196180392,102415777044,105431601756,108854970348,111300233628,113908514460,116190760188,118595269080,121162795524,123893339520,125849550144,128335567812,130740076704,133266848760,135752866428,138238884096,140684147376,143007147492,145533919548,147816165276,149853884676,152013867240,153970077864,156130060428,158045516664,160001727288,162080201076,164036411700,166033376712,167867324172,169742026020,171820499808,173858219208,175855184220,177566868516
IL,以色列,其他,https://www.fluentpython.com/data/flags/il/il.gif,亚洲,IL,0,0,122263164,203771940,326035104,529807044,692824596,855842148,1018859700,1181877252,1467157968,1589421132,1711684296,1833947460,2037719400,2282245728,2445263280,2689789608,2934315936,3138087876,3341859816,3627140532,3830912472,3993930024,4197701964,4442228292,4646000232,4931280948,5175807276,5583351156,5950140648,6357684528,6724474020,7172772288,7580316168,7947105660,8313895152,9006719748,9536526792,9984825060,10555386492,11248211088,12226316400,13000649772,13734228756,14508562128,15119877948,16138737648,16872316632,17605895616,18298720212,19113807972,20051158896,21233036148,22374159012,23556036264,24900931068,26123562708,27753738228,29383913748,30973334880,32848036728,34559721024,36271405320,38186861556,40306089732,42832861788,44911335576,46949054976,49516581420,52043353476,54284844816,56404072992,58686318720,61213090776,64106652324,66633424380,69486231540,72379793088,75436372188,78900495168,82446126924,85258179696,88559285124,91289829120,94183390668,97036197828,100418812032,103434636744,106858005336,109792321272,113867760072,116883584784,120306953376,123485795640,126949918620,130169515272,133429866312,136323427860,139216989408,142314322896,145044866892,148794270588,152299147956,155396481444,158290042992,161346622092,163995657312,166481674980,169049201424,171249938376,173328412164,175406885952
BG,保加利亚,其他,https://www.fluentpython.com/data/flags/bg/bg.gif,欧洲,BG,0,0,81508776,163017552,203771940,326035104,489052656,815087760,1181877252,1385649192,1711684296,1956210624,2159982564,2323000116,2526772056,2812052772,3138087876,3464122980,3790158084,4075438800,4279210740,4646000232,5012789724,5257316052,5501842380,5868631872,6153912588,6316930140,6602210856,7132017900,7580316168,8028614436,8639930256,9210491688,9740298732,10147842612,10799912820,11451983028,12185562012,12919140996,13652719980,14345544576,15731193768,16831562244,17891176332,19032299196,19969650120,21355299312,22455667788,23515281876,24778667904,26408843424,27957510168,29465422524,31054843656,32440492848,34029913980,35334054396,37371773796,38838931764,40550616060,43077388116,45237370680,47641879572,49924125300,52573160520,55711248396,59012353824,61987424148,66062862948,69730757868,73235635236,76006933620,79674828540,82853670804,86521565724,89618899212,93612829236,97566004872,101396917344,105105566652,108569689632,111218724852,113623233744,115986988248,118513760304,121407321852,124341637788,126786901068,129680462616,132329497836,135386076936,137749831440,140480375436,142558849224,144311287908,146389761696,148794270588,150750481212,152706691836,154255358580,156089306040,158004762276,159920218512,161998692300,163914148536,165503569668,167133745188,168804675096,170597868168,171983517360,173287657776,174999342072
IR,伊朗,其他,https://www.fluentpython.com/data/flags/ir/ir.gif,亚洲,IR,0,0,122263164,244526328,366789492,448298268,611315820,733578984,978105312,1181877252,1426403580,1670929908,1956210624,2119228176,2323000116,2526772056,2771298384,3015824712,3301105428,3504877368,3749403696,4075438800,4360719516,4727509008,5094298500,5420333604,5746368708,6072403812,6479947692,6846737184,7295035452,7824842496,8313895152,8843702196,9292000464,9618035568,10107088224,10799912820,11248211088,11696509356,12267070788,12796877832,13652719980,14345544576,14997614784,15568176216,16097983260,16790807856,17402123676,18013439496,18747018480,19602860628,20580965940,21477562476,22414913400,23433773100,24493387188,25430738112,26531106588,27427703124,28772597928,29995229568,31299369984,32481247236,33826142040,34967264904,36882721140,38879686152,40469107284,42547581072,44748318024,46663774260,49068283152,51065248164,53265985116,55548230844,57993494124,60764792508,64310424264,67774547244,71075652672,74172986160,76699758216,79226530272,81794056716,84280074384,86806846440,89822671152,92838495864,95528285472,98218075080,101111636628,103964443788,107102531664,110362882704,113582479356,116802076008,119858655108,122915234208,126216339636,130047252108,133755901416,137831340216,141621498300,145574673936,149283323244,153114235716,156822885024,160287008004,163710376596,166970727636,170434850616,174225008700
FI,芬兰,其他,https://www.fluentpython.com/data/flags/fi/fi.gif,欧洲,FI,0,0,122263164,163017552,244526328,366789492,407543880,570561432,815087760,978105312,1141122864,1304140416,1426403580,1548666744,1711684296,1915456236,2119228176,2323000116,2445263280,2689789608,2975070324,3341859816,3708649308,4034684412,4279210740,4523737068,4809017784,5053544112,5420333604,5827877484,6398438916,6969000348,7539561780,8150877600,8802947808,9414263628,10107088224,10962930372,11818772520,12633860280,13489702428,14345544576,15771948156,16994579796,18054193884,18950790420,19847386956,21396053700,22781702892,24371124024,25960545156,28202036496,29913720792,31666159476,33744633264,35497071948,37453282572,39124212480,41447212596,43362668832,45807932112,48783002436,51798827148,54325599204,57015388812,59990459136,64065897936,67081722648,69486231540,72257529924,75232600248,78370688124,81223495284,84320828772,87295899096,90270969420,93164530968,95854320576,98747882124,102048987552,104983303488,107469321156,109507040556,111585514344,114438321504,117128111112,119695637556,123037497372,125238234324,127724251992,130006497720,132533269776,134693252340,137138515620,139420761348,141784515852,144107515968,146226744144,148182954768,149731621512,151606323360,153399516432,155111200728,157271183292,159105130752,160857569436,162324727404,163914148536,165585078444,167745061008,169742026020,171535219092,173654447268
TR,土耳其,其他,https://www.fluentpython.com/data/flags/tr/tr.gif,亚洲,TR,0,0,81508776,122263164,203771940,285280716,326035104,366789492,448298268,529807044,611315820,692824596,774333372,855842148,937350924,1059614088,1181877252,1304140416,1426403580,1589421132,1752438684,1956210624,2159982564,2323000116,2526772056,2730543996,2934315936,3138087876,3341859816,3586386144,3912421248,4279210740,4727509008,5379579216,6031649424,6398438916,6805982796,7295035452,7784088108,8232386376,8680684644,9169737300,9984825060,10799912820,11492737416,12185562012,12837632220,13734228756,14386298964,15079123560,15975720096,17361369288,18584000928,19765878180,21151527372,22985474832,24900931068,26938650468,29302404972,31340124372,33622370100,36597440424,40183826568,43199651280,46174721604,49109037540,52899195624,56322564216,59664424032,63739862832,66959459484,69690003480,71890740432,74499021264,77759372304,80489916300,82853670804,85461951636,88070232468,91126811568,93694338012,96221110068,98258829468,100092776928,101845215612,103597654296,105513110532,107550829932,109588549332,111707777508,114112286400,116965093560,119369602452,122303918388,125034462384,128417076588,131351392524,134652497952,137586813888,140032077168,142762621164,145982217816,149935393452,153562533984,156700621860,159431165856,161631902808,163791885372,165748095996,167541289068,169538254080,171657482256,173491429716
BR,巴西,其他,https://www.fluentpython.com/data/flags/br/br.gif,南美,BR,0,0,0,40754388,81508776,122263164,163017552,203771940,244526328,285280716,366789492,407543880,448298268,489052656,529807044,611315820,692824596,774333372,855842148,978105312,1100368476,1222631640,1344894804,1467157968,1589421132,1752438684,1915456236,2078473788,2200736952,2363754504,2608280832,2852807160,3138087876,3464122980,3749403696,4034684412,4401473904,4890526560,5338824828,5827877484,6398438916,7091263512,8150877600,9088228524,10025579448,10881421596,11981790072,13530456816,15038369172,17076088572,18991544808,21029264208,23148492384,24900931068,26571860976,28120527720,29832212016,31299369984,33214826220,35008019292,37004984304,39491001972,41936265252,44014739040,45889440888,47764142736,49964879688,52043353476,54244090428,56485581768,58686318720,60724038120,62761757520,65370038352,67815301632,70342073688,73480161564,76088442396,80163881196,83750267340,87092127156,90107951868,92593969536,95079987204,97647513648,100826355912,104045952564,106939514112,109792321272,112808145984,115864725084,119695637556,123159760536,126786901068,129965743332,132900059268,135712112040,138524164812,140887919316,142966393104,145167130056,147612393336,150546709272,153114235716,155355727056,157434200844,159512674632,161468885256,163384341492,165422060892,167337517128,169089955812,171005412048
PH,菲律宾,其他,https://www.fluentpython.com/data/flags/ph/ph.gif,亚洲,PH,0,0,0,40754388,81508776,122263164,163017552,244526328,366789492,448298268,570561432,733578984,896596536,1059614088,1181877252,1426403580,1833947460,2282245728,2689789608,3015824712,3341859816,3830912472,4360719516,4972035336,5624105544,6724474020,7580316168,8273140764,8925210972,9699544344,10636895268,11451983028,12185562012,12837632220,13448948040,14101018248,14875351620,15934965708,16913071020,17809667556,18747018480,19806632568,21518316864,22659439728,23719053816,24737913516,25716018828,27386948736,28731843540,30606545388,32277475296,34641229800,36964229916,39735528300,43729458324,46623019872,49068283152,51350528880,54081072876,56567090544,59256880152,62394968028,65125512024,67285494588,69445477152,71972249208,75028828308,77392582812,79185775884,81141986508,82935179580,84687618264,86317793784,88192495632,89822671152,91371337896,92593969536,94753952100,96669408336,98381092632,99848250600,101233899792,102252759492,103353127968,104371987668,105839145636,107143286052,108447426468,109873830048,112237584552,114723602220,118269233976,121366567464,125360497488,128824620468,131840445180,135141550608,138687182364,141458480748,143740726476,146104480980,148631253036,151321042644,155396481444,158086271052,160123990452,161917183524,163588113432,165299797728,167133745188,168478639992,169619762856,170760885720
DE,德国,其他,https://www.fluentpython.com/data/flags/de/de.gif,欧洲,DE,0,0,163017552,326035104,529807044,733578984,896596536,1100368476,1344894804,1548666744,1833947460,2037719400,2241491340,2404508892,2649035220,2934315936,3178842264,3464122980,3708649308,4034684412,4360719516,4686754620,5012789724,5338824828,5664859932,5950140648,6276175752,6602210856,6969000348,7335789840,7784088108,8273140764,8762193420,9210491688,9699544344,10188597000,10799912820,11574246192,12348579564,13122912936,13978755084,14875351620,16097983260,16994579796,17891176332,18787772868,19765878180,21192281760,22333404624,23556036264,24778667904,26408843424,27794492616,29261650584,30851071716,32399738460,33907650816,35537826336,37453282572,39287230032,41406458208,43810967100,46052458440,48253195392,50413177956,53021458788,56730108096,60031213524,62231950476,64717968144,67285494588,71360933388,73806196668,76455231888,78900495168,81508776000,84035548056,86806846440,89252109720,91941899328,94264899444,96506390784,98462601408,100459566420,102456531432,104535005220,106980268500,109792321272,112033812612,114519830280,116639058456,119125076124,121325813076,123974848296,126338602800,128824620468,131310638136,133878164580,135997392756,138605673588,141173200032,143699972088,146715796800,149161060080,151565568972,153725551536,155804025324,157800990336,159879464124,162446990568,164606973132,166726201308,169089955812
KH,柬埔塞,其他,https://www.fluentpython.com/data/flags/kh/kh.gif,亚洲,KH,0,0,0,81508776,163017552,244526328,407543880,570561432,937350924,1263386028,1507912356,2445263280,2852807160,3138087876,3423368592,3749403696,4360719516,4972035336,5420333604,5746368708,6072403812,6602210856,7132017900,7824842496,8436158316,8965965360,9455018016,9862561896,10310860164,10677649656,11492737416,12104053236,12756123444,13652719980,14508562128,15201386724,15894211320,16709299080,17605895616,18461737764,19032299196,19643615016,20662474716,21436808088,22374159012,23270755548,24126597696,25512246888,26653369752,27957510168,29057878644,30484282224,31788422640,33133317444,34518966636,35945370216,37168001856,38472142272,40020809016,41324949432,42914370564,44870581188,46908300588,48864511212,51309774492,53469757056,56241055440,59012353824,61539125880,64677213756,67856056020,71727722880,75354863412,79430302212,83220460296,87051372768,90148706256,93857355564,96995443440,99848250600,102415777044,105064812264,107265549216,109466286168,111463251180,113419461804,115212654876,116842830396,118717532244,121325813076,124056357072,127887269544,130577059152,133266848760,135508340100,137668322664,139543024512,141580743912,143088656268,144270533520,145982217816,148264463544,150342937332,152625183060,154703656848,156537604308,158534569320,160287008004,161754165972,163628867820,164892253848,166033376712,167174499576
KG,吉尔吉斯坦,其他,https://www.fluentpython.com/data/flags/kg/kg.gif,亚洲,KG,0,0,40754388,40754388,81508776,122263164,122263164,122263164,163017552,203771940,285280716,366789492,407543880,448298268,489052656,570561432,692824596,733578984,978105312,1263386028,1385649192,1793193072,1996965012,2200736952,2404508892,2689789608,3056579100,3341859816,3627140532,3953175636,4442228292,4972035336,5461087992,6072403812,6602210856,6928245960,7539561780,8354649540,9128982912,9903316284,10759158432,11533491804,12878386608,14264035800,15323649888,16627790304,17605895616,18828527256,19928895732,21273790536,23066983608,25267720560,27549966288,29587685688,31788422640,34518966636,37657054512,40754388000,44829826800,47723388348,50453932344,52736178072,55344458904,57545195856,59868195972,62068932924,65166266412,68671143780,71768477268,75721652904,79022758332,81590284776,84198565608,86725337664,89415127272,91901144940,94387162608,97606759260,100255794480,103312373580,106328198292,109344023004,111259479240,113256444252,115294163652,117168865500,119125076124,121285058688,123363532476,125238234324,127235199336,129721217004,132003462732,134570989176,136730971740,138972463080,141173200032,143210919432,145085621280,146715796800,148468235484,150220674168,152176884792,154255358580,156211569204,157964007888,159431165856,160613043108,161876429136,163180569552,164484709968,165544324056,166644692532
KW,科威特,其他,https://www.fluentpython.com/data/flags/kw/kw.gif,亚洲,KW,0,0,0,40754388,81508776,122263164,122263164,163017552,285280716,448298268,611315820,733578984,815087760,855842148,937350924,1059614088,1181877252,1467157968,1711684296,1833947460,2119228176,2486017668,2771298384,3219596652,3382614204,3667894920,3993930024,4116193188,4360719516,4646000232,5216561664,5909386260,6683719632,7009754736,7702579332,8354649540,8884456584,9740298732,10596140880,11166702312,11778018132,12430088340,13530456816,14508562128,15282895500,16138737648,16953825408,18257965824,19236071136,20377194000,21436808088,22944720444,24208106472,25226966172,26490352200,27631475064,28691089152,30035983956,31829177028,33377843772,35008019292,36882721140,38675914212,40469107284,42058528416,43688703936,45726423336,47397353244,49027528764,51228265716,53021458788,54773897472,56730108096,58930845048,61050073224,63454582116,65533055904,68182091124,70505091240,72746582580,75273354636,77800126692,79756337316,83138951520,85380442860,87458916648,89863425540,92471706372,95202250368,97525250484,99889004988,103475391132,106165180740,109425531780,112522865268,115375672428,118636023468,121733356956,124178620236,126990673008,129721217004,132737041716,136608708576,140684147376,144229779132,147490130172,150995007540,153766305924,156415341144,159227393916,161794920360,164077166088,166359411816
PY,巴拉圭,其他,https://www.fluentpython.com/data/flags/py/py.gif,南美,PY,0,0,0,40754388,40754388,40754388,40754388,81508776,163017552,163017552,163017552,203771940,203771940,203771940,203771940,326035104,366789492,529807044,570561432,652070208,733578984,815087760,937350924,1018859700,1100368476,1141122864,1304140416,1507912356,1630175520,1752438684,1956210624,2159982564,2404508892,2526772056,2649035220,2771298384,2975070324,3301105428,3504877368,3871666860,4116193188,4442228292,4809017784,5094298500,5501842380,5827877484,6194666976,6887491572,7743333720,8639930256,9495772404,10840667208,11818772520,12878386608,14141772636,15527421828,16994579796,18420983376,20254930836,22088878296,24045088920,26571860976,29057878644,31340124372,33459352548,36067633380,38798177376,41121177492,43647949548,46500756708,48905265600,51065248164,53469757056,56485581768,59175371376,61824406596,64391933040,67122477036,69771512256,72339038700,74662038816,76781266992,78248424960,80000863644,81875565492,84157811220,86521565724,88559285124,90393232584,92756987088,95202250368,98340338244,101152391016,104005198176,106939514112,109996093212,113378707416,116150005800,119247339288,121855620120,124871444832,128050287096,132125725896,136038147144,139135480632,142314322896,145533919548,148508989872,151891604076,155600253384,159227393916,162365481792,165299797728
US,美国,其他,https://www.fluentpython.com/data/flags/us/us.gif,北美,US,0,0,40754388,81508776,122263164,163017552,203771940,326035104,448298268,529807044,652070208,733578984,815087760,896596536,978105312,1100368476,1222631640,1385649192,1548666744,1711684296,1915456236,2159982564,2363754504,2567526444,2771298384,3015824712,3219596652,3464122980,3708649308,3993930024,4360719516,4727509008,5175807276,5542596768,5909386260,6276175752,6846737184,7661824944,8313895152,8884456584,9455018016,10066333836,10962930372,11778018132,12470842728,13122912936,13774983144,14753088456,15649684992,16750053468,17728158780,18991544808,20254930836,21477562476,23230001160,24615650352,25960545156,27183176796,28854106704,30280510284,32888791116,35252545620,38023844004,40183826568,42262300356,44666809248,48334704168,51024493776,53306739504,56078037888,59501406480,62231950476,64595704980,67203985812,69608494704,72339038700,74947319532,78452196900,82527635700,85298934084,87744197364,89985688704,91901144940,93816601176,95813566188,97973548752,100867110300,104168215728,106531970232,108854970348,110974198524,113460216192,115538689980,118228479588,120959023584,123689567580,126257094024,128702357304,130617813540,132574024164,135060041832,137342287560,140765656152,144026007192,146552779248,148508989872,150587463660,152625183060,155151955116,157841744724,159838709736,161754165972,163914148536
DO,多米尼加,其他,https://upload.wikimedia.org/wikipedia/commons/thumb/9/9f/Flag_of_the_Dominican_Republic.svg/206px-Flag_of_the_Dominican_Republic.svg.png,北美,DO,0,0,40754388,81508776,81508776,122263164,203771940,244526328,285280716,285280716,326035104,407543880,448298268,448298268,489052656,529807044,611315820,652070208,733578984,815087760,937350924,1018859700,1100368476,1181877252,1263386028,1467157968,1589421132,1711684296,1793193072,1874701848,2037719400,2200736952,2363754504,2608280832,2730543996,2893561548,3138087876,3382614204,3586386144,3912421248,4197701964,4482982680,5012789724,5338824828,5624105544,5909386260,6194666976,6928245960,7376544228,7987860048,8517667092,9414263628,10392368940,11370474252,12796877832,13938000696,14997614784,16301755200,17891176332,19236071136,20825492268,22944720444,25063948620,27386948736,29424668136,31625405088,34274440308,37004984304,39409493196,42221545968,44952089964,47397353244,49435072644,51961844700,54121827264,56485581768,58319529228,60520266180,62843266296,65655319068,68100582348,70994143896,72950354520,74743547592,76414477500,78166916184,80041618032,82283109372,84402337548,87132881544,90026443092,93327548520,96221110068,99440706720,102456531432,105309338592,108243654528,111259479240,114153040788,116883584784,119980918272,123119006148,126664637904,130536304764,134244954072,138320392872,141906779016,145207884444,148631253036,152625183060,156252323592,159553429020,162813780060
SV,萨尔瓦多,其他,https://www.fluentpython.com/data/flags/sv/sv.gif,北美,SV,0,0,40754388,40754388,81508776,81508776,122263164,122263164,122263164,163017552,244526328,285280716,366789492,407543880,448298268,529807044,611315820,652070208,733578984,815087760,896596536,978105312,1018859700,1059614088,1181877252,1263386028,1385649192,1467157968,1548666744,1630175520,1793193072,1874701848,2037719400,2159982564,2404508892,2567526444,2975070324,3301105428,3545631756,3790158084,4116193188,4401473904,4849772172,5216561664,5624105544,5990895036,6357684528,6928245960,7417298616,7947105660,8680684644,9414263628,10147842612,11085193536,12267070788,13448948040,14630825292,15812702544,17565141228,19113807972,21233036148,23637545040,25838281992,27835247004,29995229568,32399738460,35293300008,38023844004,40632124836,43688703936,46541511096,49109037540,52165616640,54896160636,57626704632,60398003016,62802511908,65533055904,68182091124,70586600016,72583565028,74906565144,76740512604,78696723228,80652933852,82405372536,84443091936,86399302560,88070232468,90026443092,91941899328,94835460876,97321478544,100092776928,102619548984,105472356144,108528935244,111626268732,114356812728,116924339172,119940163884,123322778088,126949918620,130699322316,134041182132,137220024396,140602638600,143699972088,147775410888,151647077748,155477990220,158901358812,162650762508
UZ,乌兹别克斯坦,其他,https://www.fluentpython.com/data/flags/uz/uz.gif,亚洲,UZ,0,0,0,0,40754388,40754388,81508776,203771940,244526328,326035104,326035104,448298268,448298268,570561432,652070208,774333372,855842148,896596536,937350924,1059614088,1181877252,1304140416,1426403580,1548666744,1670929908,1793193072,1915456236,2037719400,2241491340,2241491340,2486017668,2771298384,3178842264,3464122980,3830912472,4116193188,4523737068,4727509008,5053544112,5298070440,5705614320,6235421364,6887491572,7784088108,8476912704,9210491688,9740298732,10596140880,11370474252,12022544460,12796877832,13897246308,14916106008,16179492036,17442878064,18950790420,20336439612,21885106356,23066983608,24289615248,25919790768,27468457512,29261650584,30891826104,32562756012,34192931532,35863861440,37779317676,39694773912,41569475760,43362668832,44870581188,46337739156,47804897124,49720353360,51635809596,53469757056,56037283500,58564055556,61824406596,64595704980,67693038468,69934529808,72502056252,74906565144,77677863528,80408407524,83098197132,85910249904,88640793900,91697373000,94957724040,98136566304,101722952448,104983303488,108202900140,111340988016,114030777624,116965093560,119410356840,122263164000,124871444832,128417076588,132492515388,136119655920,139746796452,142721866776,145533919548,148386726708,151158025092,154296112968,157311937680,160327762392
KR,韩国,其他,https://www.fluentpython.com/data/flags/kr/kr.gif,亚洲,KR,0,0,40754388,40754388,81508776,122263164,163017552,244526328,326035104,366789492,407543880,448298268,489052656,529807044,570561432,652070208,774333372,896596536,978105312,1059614088,1141122864,1263386028,1385649192,1467157968,1589421132,1711684296,1833947460,1956210624,2078473788,2200736952,2445263280,2730543996,2975070324,3219596652,3423368592,3627140532,3871666860,4279210740,4646000232,5012789724,5298070440,5583351156,6031649424,6357684528,6683719632,7050509124,7295035452,7865596884,8354649540,9781053120,11451983028,13448948040,15038369172,16342509588,17891176332,19358334300,20703229104,22048123908,24208106472,26368089036,28813352316,31584650700,34111422756,36556686036,38349879108,40183826568,43362668832,46337739156,48742248048,51595055208,55262950128,58727073108,61661389044,64880985696,67693038468,68793406944,69893775420,73969214220,78003898632,81794056716,84646863876,87336653484,89741162376,92186425656,94305653832,96750917112,99562969884,102578794596,105146321040,107265549216,109344023004,111422496792,113378707416,116027742636,119736391944,123241269312,125849550144,128824620468,131025357420,133063076820,134978533056,136853234904,139135480632,141621498300,144066761580,145900709040,147897674052,149853884676,151687832136,153603288372,155233463892,156904393800,158534569320
HN,洪都拉斯,其他,https://www.fluentpython.com/data/flags/hn/hn.gif,北美,HN,0,0,40754388,81508776,122263164,122263164,163017552,203771940,244526328,285280716,326035104,366789492,407543880,448298268,529807044,652070208,652070208,692824596,774333372,815087760,896596536,978105312,978105312,978105312,1018859700,1100368476,1181877252,1304140416,1344894804,1507912356,1670929908,1752438684,1833947460,1874701848,2078473788,2159982564,2241491340,2567526444,2771298384,2893561548,3015824712,3138087876,3382614204,3667894920,3912421248,4197701964,4442228292,4809017784,5298070440,5827877484,6439193304,6846737184,7376544228,8150877600,9088228524,10351614552,11451983028,12430088340,13693474368,15038369172,16872316632,19317579912,21396053700,23230001160,25063948620,27305439960,29628440076,31829177028,34029913980,36678949200,39531756360,42058528416,44789072412,47112072528,49557335808,51961844700,54121827264,56322564216,59216125764,61824406596,63943634772,66144371724,68059827960,69812266644,71401687776,73276389624,75273354636,77311074036,79308039048,81957074268,84280074384,87255144708,89822671152,93042267804,95895074964,98788636512,102252759492,105227829816,108243654528,110892689748,113827005684,116965093560,120877514808,124952953608,128783866080,132084971508,135712112040,139257743796,142844129940,146878814352,150587463660,154173849804,157964007888
CU,古巴,其他,https://www.fluentpython.com/data/flags/cu/cu.gif,北美,CU,0,0,0,0,0,0,0,163017552,366789492,570561432,570561432,570561432,570561432,570561432,570561432,733578984,733578984,896596536,896596536,896596536,896596536,1304140416,1304140416,1467157968,1467157968,1833947460,1833947460,1833947460,1833947460,1996965012,2282245728,2282245728,2282245728,2567526444,2689789608,2893561548,3097333488,3301105428,3504877368,3586386144,3749403696,3912421248,4156947576,4564491456,4972035336,5175807276,5420333604,6561456468,6969000348,7417298616,8354649540,9088228524,9781053120,10677649656,11533491804,12715369056,14386298964,16016474484,16587035916,17157597348,18257965824,19562106240,20947755432,22007369520,23759808204,26082808320,27957510168,30117492732,32155212132,34559721024,36882721140,40265335344,42832861788,45115107516,47356598856,49475827032,51554300820,53918055324,55955774724,58930845048,61457617104,64391933040,66266634888,68956424496,71238670224,73846951056,76251459948,78941249556,81794056716,84483846324,86684583276,89252109720,91901144940,95243004756,97443741708,100459566420,103027092864,105798391248,108447426468,111422496792,114968128548,117820935708,121040532360,124300883400,127968778320,131188374972,135263813772,138320392872,141173200032,144474305460,147367867008,150261428556,153236498880
DZ,阿尔及利亚,其他,https://www.fluentpython.com/data/flags/dz/dz.gif,非洲,DZ,0,0,40754388,122263164,203771940,326035104,448298268,570561432,692824596,855842148,1100368476,1344894804,1507912356,1630175520,1752438684,1915456236,2119228176,2282245728,2445263280,2608280832,2771298384,3015824712,3219596652,3423368592,3667894920,3912421248,4116193188,4319965128,4442228292,4646000232,4972035336,5298070440,5664859932,6031649424,6398438916,6683719632,7009754736,7376544228,7784088108,8191631988,8639930256,9128982912,9821807508,10596140880,11329719864,11981790072,12674614668,13734228756,14630825292,15405158664,16179492036,17239106124,18217211436,19032299196,20010404508,21070018596,22170387072,23352264324,24819422292,25879036380,26979404856,28324299660,29587685688,30606545388,31992194580,33174071832,34926510516,36515931648,38186861556,40306089732,42099282804,43770212712,45278125068,47193581304,48986774376,51024493776,53225230728,55752002784,58319529228,60764792508,62924775072,65247775188,67081722648,69119442048,70953389508,73072617684,74988073920,77107302096,79674828540,81997828656,84809881428,88763057064,92512460760,96587899560,100541075196,104331233280,107958373812,111259479240,114071532012,116639058456,119491865616,122385427164,125319743100,128457830976,131921953956,135630603264,138972463080,141703007076,144107515968,146919568740,149161060080,151158025092,153195744492
MD,摩尔多瓦,其他,https://www.fluentpython.com/data/flags/md/md.gif,欧洲,MD,0,0,0,40754388,122263164,163017552,285280716,366789492,407543880,489052656,570561432,652070208,652070208,692824596,815087760,896596536,1018859700,1100368476,1181877252,1304140416,1426403580,1589421132,1670929908,1793193072,1956210624,2119228176,2200736952,2363754504,2567526444,2730543996,2893561548,3219596652,3586386144,3993930024,4156947576,4360719516,4482982680,4768263396,5175807276,5461087992,5787123096,6439193304,7172772288,7906351272,8517667092,9047474136,9373509240,10107088224,10718404044,11329719864,11900281296,12674614668,13652719980,14467807740,15649684992,16668544692,17483632452,18828527256,20295685224,21599825640,22822457280,24126597696,25838281992,27386948736,29139387420,31177106820,33663124488,36271405320,38227615944,41324949432,43729458324,46378493544,48579230496,50861476224,53755037772,56200301052,58645564332,61702143432,65288529576,69363968376,72787336968,76373723112,79022758332,81386512836,83628004176,86399302560,89496636048,92512460760,95609794248,98462601408,101070882240,105064812264,108121391364,111096461688,113297198640,115660953144,117861690096,120103181436,122344672776,124178620236,126297848412,128824620468,131392146912,133918918968,136608708576,138687182364,140643392988,142355077284,144107515968,145859954652,147775410888,149242568856,151198779480
