alpha_2,region,,flag,大洲:,origin name,Let's Go,,2013-01-01,2013-02-01,2013-03-01,2013-04-01,2013-05-01,2013-06-01,2013-07-01,2013-08-01,2013-09-01,2013-10-01,2013-11-01,2013-12-01,2014-01-01,2014-02-01,2014-03-01,2014-04-01,2014-05-01,2014-06-01,2014-07-01,2014-08-01,2014-09-01,2014-10-01,2014-11-01,2014-12-01,2015-01-01,2015-02-01,2015-03-01,2015-04-01,2015-05-01,2015-06-01,2015-07-01,2015-08-01,2015-09-01,2015-10-01,2015-11-01,2015-12-01,2016-01-01,2016-02-01,2016-03-01,2016-04-01,2016-05-01,2016-06-01,2016-07-01,2016-08-01,2016-09-01,2016-10-01,2016-11-01,2016-12-01,2017-01-01,2017-02-01,2017-03-01,2017-04-01,2017-05-01,2017-06-01,2017-07-01,2017-08-01,2017-09-01,2017-10-01,2017-11-01,2017-12-01,2018-01-01,2018-02-01,2018-03-01,2018-04-01,2018-05-01,2018-06-01,2018-07-01,2018-08-01,2018-09-01,2018-10-01,2018-11-01,2018-12-01,2019-01-01,2019-02-01,2019-03-01,2019-04-01,2019-05-01,2019-06-01,2019-07-01,2019-08-01,2019-09-01,2019-10-01,2019-11-01,2019-12-01,2020-01-01,2020-02-01,2020-03-01,2020-04-01,2020-05-01,2020-06-01,2020-07-01,2020-08-01,2020-09-01,2020-10-01,2020-11-01,2020-12-01,2021-01-01,2021-02-01,2021-03-01,2021-04-01,2021-05-01,2021-06-01,2021-07-01,2021-08-01,2021-09-01,2021-10-01,2021-11-01,2021-12-01,2022-01-01,2022-02-01,2022-03-01
SE,瑞典,其他,https://www.fluentpython.com/data/flags/se/se.gif,欧洲,SE,0,0,122263164,244526328,326035104,448298268,652070208,815087760,978105312,1141122864,1344894804,1589421132,1752438684,1915456236,2078473788,2363754504,2689789608,2934315936,3219596652,3586386144,4034684412,4523737068,4890526560,5298070440,5664859932,6153912588,6561456468,6969000348,7376544228,7824842496,8476912704,9251246076,10025579448,10718404044,11329719864,12063298848,13041404160,14141772636,15242141112,16179492036,17157597348,18298720212,20010404508,21355299312,22537176564,23719053816,24819422292,26612615364,28202036496,29872966404,31503141924,33663124488,35415563172,37168001856,39327984420,41121177492,42832861788,44626054860,47030563752,49149791928,51717318372,54407107980,57341423916,59949704748,62680248744,65655319068,69730757868,73154126460,75680898516,78941249556,82283109372,85502706024,88844565840,92390197596,96139601292,99889004988,103353127968,107021022888,110770426584,114560584668,117494900604,120347707764,123282023700,125849550144,128620848528,131473655688,134489480400,138524164812,141866024628,145370901996,148264463544,151810095300,154622148072,158127025440,161265113316,164077166088,166848464472,169660517244,172187289300,174673306968,177200079024,179767605468,182620412628,185269447848,187755465516,189874693692,192197693808,194398430760,196843694040,199574238036,201897238152,204464764596,206950782264
MN,蒙古,其他,https://www.fluentpython.com/data/flags/mn/mn.gif,亚洲,MN,0,0,0,122263164,163017552,244526328,285280716,448298268,692824596,896596536,1059614088,1263386028,1344894804,1426403580,1670929908,1874701848,2363754504,2608280832,2975070324,3423368592,3749403696,4156947576,4523737068,4890526560,5420333604,5909386260,6520702080,7050509124,7498807392,8028614436,8884456584,10392368940,11288965476,12348579564,13122912936,13693474368,14508562128,15486667440,16790807856,17809667556,18787772868,19969650120,21762843192,23270755548,25308474948,26571860976,27672229452,29383913748,31340124372,32766527952,34804247352,37045738692,39042703704,41080423104,43362668832,46215475992,49027528764,51798827148,54284844816,56567090544,58930845048,61376108328,64717968144,67203985812,69975284196,72583565028,75273354636,78492951288,81386512836,84565355100,86929109604,89618899212,92064162492,94835460876,98258829468,101600689284,104535005220,107795356260,110811180972,113704742520,116476040904,119165830512,121366567464,123485795640,125768041368,127968778320,130740076704,133959673356,137790585828,141213954420,144270533520,148345972320,151280288256,154540639296,157271183292,159757200960,162650762508,165870359160,169375236528,172594833180,175692166668,178707991380,181886833644,184984167132,187836974292,190567518288,192849764016,195172764132,197047465980,199207448544,201245167944,202875343464,204464764596
NZ,新西兰,其他,https://www.fluentpython.com/data/flags/nz/nz.gif,澳洲,NZ,0,0,122263164,203771940,285280716,366789492,489052656,733578984,855842148,1059614088,1222631640,1426403580,1630175520,1833947460,1996965012,2159982564,2445263280,2771298384,3056579100,3341859816,3586386144,3912421248,4360719516,4727509008,5094298500,5461087992,5746368708,6072403812,6398438916,6969000348,7621070556,8191631988,8802947808,9414263628,10270105776,11044439148,12063298848,13408193652,14467807740,15445913052,16546281528,17850421944,19439843076,20825492268,21925860744,22903966056,24289615248,26734878528,28813352316,30688054164,32562756012,35089528068,36964229916,39287230032,41365703820,43525686384,45522651396,47519616408,50576195508,53102967564,56200301052,59460652092,62761757520,65329283964,67856056020,70871880732,74947319532,77922389856,80815951404,83994793668,87377407872,91330583508,94835460876,97973548752,100663338360,103108601640,105594619308,109262514228,112563619656,116109251412,119288093676,122344672776,125971813308,128417076588,130740076704,133185339984,135589848876,138483410424,141010182480,144026007192,146634288024,149120305692,151524814584,154622148072,157800990336,161061341376,164240183640,166807710084,169293727752,171575973480,173776710432,175977447384,178585728216,181520044152,184250588148,186369816324,188978097156,191423360436,194072395656,197006711592,199411220484,201285922332,203323641732
DK,丹麦,其他,https://www.fluentpython.com/data/flags/dk/dk.gif,欧洲,DK,0,0,203771940,326035104,407543880,489052656,570561432,692824596,978105312,1181877252,1467157968,1589421132,1752438684,1956210624,2119228176,2282245728,2608280832,2852807160,3138087876,3423368592,3667894920,3912421248,4116193188,4319965128,4605245844,4890526560,5175807276,5379579216,5583351156,5827877484,6153912588,6561456468,7091263512,7580316168,7906351272,8395403928,8925210972,9618035568,10270105776,11044439148,11859526908,12552351504,13774983144,14793842844,15405158664,16261000812,16994579796,18217211436,19358334300,20662474716,21925860744,23515281876,25063948620,26653369752,28365054048,30239755896,32155212132,34029913980,36149142156,38105352780,40632124836,43607195160,46663774260,49272055092,52084107864,55385213292,59134616988,63169301400,65899845396,69363968376,72705828192,76495986276,80082372420,83179705908,86154776232,89618899212,92960759028,96750917112,100378057644,104249724504,107184040440,110118356376,112808145984,115457181204,118269233976,121488830628,124993707996,129069146796,132370252224,135956638368,139257743796,142640358000,145819200264,149161060080,152299147956,155804025324,159390411468,162487744956,165544324056,168519394380,171616727868,174388026252,177648377292,180827219556,183476254776,185636237340,187918483068,190282237572,192482974524,195295027296,197781044964,200185553856,203038361016
BO,玻利维亚,其他,https://www.fluentpython.com/data/flags/bo/bo.gif,南美,BO,0,0,0,0,40754388,40754388,40754388,81508776,163017552,285280716,448298268,570561432,692824596,855842148,978105312,1181877252,1426403580,1670929908,1996965012,2241491340,2363754504,2486017668,2649035220,2812052772,3015824712,3260351040,3464122980,3708649308,3912421248,4156947576,4442228292,4686754620,5420333604,6113158200,6928245960,7458053004,8232386376,9210491688,10310860164,11044439148,11900281296,12837632220,14101018248,15201386724,16342509588,17198351736,18176457048,19643615016,21070018596,22700194116,24167352084,26123562708,27753738228,29098633032,30851071716,32766527952,34763492964,36597440424,38920440540,40998914328,43240405668,46215475992,49190546316,51961844700,54407107980,57259915140,60398003016,63576845280,66796441932,70219810524,73520915952,76577495052,79634074152,83016688356,86358548172,89578144824,92553215148,95691303024,98666373348,101519180508,104249724504,106735742172,108936479124,111177970464,113378707416,115823970696,118554514692,121325813076,123689567580,126012567696,128294813424,131555164464,134122690908,137627568276,141010182480,144515059848,148223709156,151239533868,154214604192,157393446456,160816815048,164403201192,168315622440,171861254196,175284622788,178463465052,181846079256,185065675908,188407535724,192482974524,195906343116,199003676604,202101010092
ES,西班牙,其他,https://www.fluentpython.com/data/flags/es/es.gif,欧洲,ES,0,0,81508776,163017552,244526328,326035104,407543880,652070208,896596536,1059614088,1222631640,1344894804,1467157968,1589421132,1711684296,1915456236,2078473788,2282245728,2445263280,2649035220,2852807160,3178842264,3423368592,3627140532,3830912472,4116193188,4360719516,4564491456,4809017784,5094298500,5461087992,5827877484,6316930140,6805982796,7213526676,7580316168,8028614436,8721439032,9332754852,9862561896,10433123328,11085193536,11981790072,12796877832,13571211204,14386298964,15119877948,16179492036,17239106124,18461737764,19643615016,21233036148,22659439728,24045088920,25756773216,27549966288,29587685688,31747668252,34355949084,36434422872,38961194928,42058528416,44870581188,47356598856,49720353360,52654669296,56078037888,59582915256,62924775072,66755687544,70179056136,73602424728,76740512604,80408407524,83994793668,87540425424,91004548404,94713197712,98177320692,102008233164,105309338592,109384777392,112074567000,114642093444,117413391828,120347707764,124300883400,128172550260,131269883748,134448726012,137301533172,140480375436,143414691372,147082586292,150302182944,153318007656,156496849920,159594183408,162243218628,164769990684,167459780292,170394096228,173287657776,176384991264,179523079140,182375886300,184861903968,187184904084,189467149812,192360711360,194928237804,197740290576,200552343348
BA,波黑,其他,https://www.fluentpython.com/data/flags/ba/ba.gif,欧洲,BA,0,0,81508776,163017552,285280716,366789492,448298268,733578984,855842148,1059614088,1181877252,1344894804,1426403580,1548666744,1630175520,1711684296,1793193072,1996965012,2200736952,2323000116,2486017668,2852807160,3015824712,3219596652,3545631756,3708649308,3830912472,4238456352,4442228292,4686754620,5053544112,5420333604,6153912588,6805982796,7498807392,8028614436,8273140764,9169737300,9862561896,10392368940,11370474252,12307825176,13530456816,14304790188,15160632336,15608930604,16179492036,17239106124,17850421944,19154562360,20825492268,22374159012,23759808204,25145457396,27101668020,28568825988,30769562940,33581615712,36230650932,37942335228,40387598508,43240405668,46215475992,48375458556,50494686732,53632774608,57300669528,60316494240,63291564564,66837196320,70056792972,73194880848,76210705560,79145021496,82364618148,85624969188,87907214916,90923039628,93735092400,97443741708,101233899792,105309338592,108365917692,110362882704,112685882820,115294163652,118187725200,120836760420,124178620236,127398216888,131106866196,134693252340,137749831440,141825270240,145859954652,149242568856,152502919896,155559498996,158738341260,161224358928,163995657312,166726201308,169497499692,172513324404,175366131564,179360061588,181397780988,183394746000,186084535608,189100360320,192401465748,195743325564,198392360784
HR,克罗地亚,其他,https://www.fluentpython.com/data/flags/hr/hr.gif,欧洲,HR,0,0,40754388,163017552,244526328,285280716,407543880,652070208,855842148,978105312,1222631640,1344894804,1426403580,1670929908,1915456236,2119228176,2404508892,2567526444,2812052772,2975070324,3138087876,3423368592,3749403696,3953175636,4197701964,4401473904,4605245844,4727509008,5094298500,5461087992,5787123096,6194666976,6642965244,7009754736,7376544228,7784088108,8395403928,9169737300,9984825060,10514632104,11207456700,11941035684,12796877832,13693474368,14793842844,15731193768,16709299080,18257965824,19521351852,21029264208,22292650236,24574895964,26245825872,28039018944,29750703240,31462387536,33785387652,35986124604,38349879108,40387598508,42914370564,45685668948,48946019988,51880335924,54162581652,57219160752,61090827612,64351178652,67489266528,71360933388,74254494936,77229565260,79960109256,83301969072,86073267456,88885320228,92064162492,95487531084,98910899676,102293513880,105553864920,108691952796,111014952912,113052672312,115660953144,118269233976,121407321852,125075216772,128009532708,131106866196,134285708460,137586813888,141132445644,144841094952,148142200380,151076516316,154010832252,157108165740,159757200960,161428130868,164117920476,167256008352,170638622556,174714061356,177729886068,180541938840,182905693344,184658132028,187347921636,189874693692,193012781568,195661816788,198107080068
CN,中国,其他,https://www.fluentpython.com/data/flags/cn/cn.gif,亚洲,CN,0,0,81508776,122263164,244526328,366789492,489052656,611315820,733578984,815087760,937350924,1018859700,1181877252,1344894804,1467157968,1670929908,1915456236,2119228176,2363754504,2689789608,3586386144,4646000232,5216561664,6316930140,7050509124,7661824944,9903316284,10962930372,11818772520,13163667324,15486667440,18054193884,19073053584,19806632568,20499457164,20743983492,21640580028,23230001160,23637545040,24004334532,24493387188,24982439844,26123562708,26490352200,27264685572,28650334764,29709948852,31543896312,33622370100,34804247352,36067633380,39287230032,40998914328,42099282804,44259265368,46378493544,48660739272,50657704284,52980704400,55466722068,58441792392,61661389044,65003248860,68385863064,70016038584,72828091356,76577495052,80204635584,83668758564,87499671036,90352478196,93490566072,95976583740,99073917228,101600689284,104820285936,107836110648,111789286284,115864725084,119084321736,123119006148,126053322084,128946883632,131473655688,133959673356,137464550724,140643392988,144311287908,146675042412,149446340796,151810095300,154092341028,156456095532,159879464124,162243218628,165136780176,167337517128,169782780408,171861254196,174265763088,176384991264,178300447500,180501184452,182987202120,185106430296,186492079488,188244518172,189670921752,191219588496,193053535956,194398430760,195824834340,197088220368
RS,塞尔维亚,其他,https://www.fluentpython.com/data/flags/rs/rs.gif,欧洲,RS,0,0,122263164,244526328,366789492,489052656,692824596,855842148,896596536,1059614088,1344894804,1548666744,1793193072,1956210624,2159982564,2445263280,2771298384,3015824712,3260351040,3545631756,3790158084,4034684412,4360719516,4646000232,5053544112,5298070440,5624105544,5827877484,6153912588,6602210856,7172772288,7702579332,8354649540,8843702196,9292000464,9903316284,10555386492,11411228640,12185562012,12919140996,13734228756,14467807740,16057228872,17279860512,18298720212,19154562360,20132667672,21803597580,23189246772,24534141576,25960545156,27998264556,29954475180,31380878760,33459352548,35374808784,37983089616,40265335344,42995879340,45196616292,48049423452,50616949896,53388248280,56322564216,58849336272,61987424148,65573810292,68915670108,71605459716,75680898516,78941249556,81916319880,84769127040,87621934200,90597004524,94020373116,96547145172,99766741824,103067847252,106898759724,110240619540,113256444252,115864725084,118228479588,120836760420,123322778088,126134830860,130006497720,133022322432,136364182248,139216989408,142762621164,145370901996,148590498648,151402551420,154133095416,156578358696,159471920244,161835674748,164321692416,166929973248,169742026020,171983517360,174551043804,176996307084,179360061588,181479289764,183761535492,186166044384,188448290112,191627132376,194235413208,196436150160
